OpenTime,hour,minute,day,month,year,open,high,low,close,volume
2023-08-11 19:00:00,19,0,11,8,2023,0.5819,0.5843,0.5814,0.5843,923027.0
2023-08-11 20:00:00,20,0,11,8,2023,0.5843,0.5856,0.5836,0.5846,1713997.0
2023-08-11 21:00:00,21,0,11,8,2023,0.5845,0.5856,0.5827,0.583,1048988.0
2023-08-11 22:00:00,22,0,11,8,2023,0.583,0.5848,0.5827,0.5844,811665.0
2023-08-11 23:00:00,23,0,11,8,2023,0.5844,0.5849,0.5838,0.584,394499.0
2023-08-12 00:00:00,0,0,12,8,2023,0.5839,0.5841,0.5824,0.5828,750304.0
2023-08-12 01:00:00,1,0,12,8,2023,0.5828,0.5842,0.5824,0.5832,597305.0
2023-08-12 02:00:00,2,0,12,8,2023,0.5831,0.5835,0.5824,0.5825,395649.0
2023-08-12 03:00:00,3,0,12,8,2023,0.5825,0.5842,0.5824,0.5833,645258.0
2023-08-12 04:00:00,4,0,12,8,2023,0.5833,0.5834,0.5814,0.5816,937952.0
2023-08-12 05:00:00,5,0,12,8,2023,0.5816,0.5824,0.5814,0.5821,531476.0
2023-08-12 06:00:00,6,0,12,8,2023,0.582,0.5825,0.5816,0.5822,277095.0
2023-08-12 07:00:00,7,0,12,8,2023,0.5821,0.583,0.5818,0.5826,656953.0
2023-08-12 08:00:00,8,0,12,8,2023,0.5826,0.5831,0.581,0.5812,524906.0
2023-08-12 09:00:00,9,0,12,8,2023,0.5812,0.5849,0.5812,0.5849,951680.0
2023-08-12 10:00:00,10,0,12,8,2023,0.5848,0.5858,0.5843,0.585,902161.0
2023-08-12 11:00:00,11,0,12,8,2023,0.585,0.5874,0.5846,0.5856,1208203.0
2023-08-12 12:00:00,12,0,12,8,2023,0.5856,0.5865,0.5849,0.5855,508430.0
2023-08-12 13:00:00,13,0,12,8,2023,0.5855,0.587,0.5853,0.5857,850025.0
2023-08-12 14:00:00,14,0,12,8,2023,0.5858,0.5864,0.5846,0.5852,598413.0
2023-08-12 15:00:00,15,0,12,8,2023,0.5852,0.5873,0.5848,0.5865,987369.0
2023-08-12 16:00:00,16,0,12,8,2023,0.5865,0.5867,0.5855,0.5864,711088.0
2023-08-12 17:00:00,17,0,12,8,2023,0.5865,0.5879,0.5863,0.5866,947208.0
2023-08-12 18:00:00,18,0,12,8,2023,0.5866,0.5868,0.5854,0.5859,502985.0
2023-08-12 19:00:00,19,0,12,8,2023,0.586,0.5907,0.586,0.5895,2176995.0
2023-08-12 20:00:00,20,0,12,8,2023,0.5895,0.5901,0.5862,0.5886,1391136.0
2023-08-12 21:00:00,21,0,12,8,2023,0.5886,0.5894,0.5869,0.5873,800278.0
2023-08-12 22:00:00,22,0,12,8,2023,0.5873,0.5875,0.5854,0.5869,945697.0
2023-08-12 23:00:00,23,0,12,8,2023,0.5868,0.588,0.5858,0.5872,592304.0
2023-08-13 00:00:00,0,0,13,8,2023,0.5871,0.5872,0.5854,0.5856,569160.0
2023-08-13 01:00:00,1,0,13,8,2023,0.5855,0.5874,0.5855,0.5866,603441.0
2023-08-13 02:00:00,2,0,13,8,2023,0.5866,0.5879,0.5862,0.5877,488394.0
2023-08-13 03:00:00,3,0,13,8,2023,0.5877,0.59,0.5875,0.5895,837371.0
2023-08-13 04:00:00,4,0,13,8,2023,0.5895,0.5898,0.5872,0.5888,615417.0
2023-08-13 05:00:00,5,0,13,8,2023,0.5888,0.5931,0.5888,0.5928,2586016.0
2023-08-13 06:00:00,6,0,13,8,2023,0.5929,0.604,0.5928,0.5954,13709360.0
2023-08-13 07:00:00,7,0,13,8,2023,0.5954,0.5955,0.5923,0.5941,6348031.0
2023-08-13 08:00:00,8,0,13,8,2023,0.5941,0.5964,0.5912,0.5916,3411020.0
2023-08-13 09:00:00,9,0,13,8,2023,0.5917,0.5929,0.5913,0.5921,1509780.0
2023-08-13 10:00:00,10,0,13,8,2023,0.5921,0.5924,0.5887,0.5899,1715715.0
2023-08-13 11:00:00,11,0,13,8,2023,0.59,0.5913,0.5881,0.5905,1361944.0
2023-08-13 12:00:00,12,0,13,8,2023,0.5906,0.592,0.5905,0.5918,720498.0
2023-08-13 13:00:00,13,0,13,8,2023,0.5919,0.5919,0.59,0.5911,954183.0
2023-08-13 14:00:00,14,0,13,8,2023,0.5911,0.5929,0.5911,0.5921,729890.0
2023-08-13 15:00:00,15,0,13,8,2023,0.5921,0.5927,0.589,0.5892,1259402.0
2023-08-13 16:00:00,16,0,13,8,2023,0.5893,0.5894,0.5858,0.5867,1613868.0
2023-08-13 17:00:00,17,0,13,8,2023,0.5868,0.5875,0.5799,0.5827,3510810.0
2023-08-13 18:00:00,18,0,13,8,2023,0.5827,0.5845,0.5821,0.5823,1165765.0
2023-08-13 19:00:00,19,0,13,8,2023,0.5823,0.5827,0.5787,0.5805,3415233.0
2023-08-13 20:00:00,20,0,13,8,2023,0.5804,0.5815,0.579,0.5793,925830.0
2023-08-13 21:00:00,21,0,13,8,2023,0.5793,0.5821,0.5743,0.5807,3498322.0
2023-08-13 22:00:00,22,0,13,8,2023,0.5807,0.5833,0.5801,0.5819,1530017.0
2023-08-13 23:00:00,23,0,13,8,2023,0.5819,0.5844,0.5808,0.5833,1317039.0
2023-08-14 00:00:00,0,0,14,8,2023,0.5833,0.5847,0.5824,0.5844,890347.0
2023-08-14 01:00:00,1,0,14,8,2023,0.5845,0.5853,0.5833,0.5851,933629.0
2023-08-14 02:00:00,2,0,14,8,2023,0.5851,0.5855,0.5825,0.5841,5245721.0
2023-08-14 03:00:00,3,0,14,8,2023,0.5841,0.5873,0.5839,0.5858,1487059.0
2023-08-14 04:00:00,4,0,14,8,2023,0.586,0.5865,0.583,0.5841,847667.0
2023-08-14 05:00:00,5,0,14,8,2023,0.5841,0.5846,0.5825,0.5836,664397.0
2023-08-14 06:00:00,6,0,14,8,2023,0.5837,0.5837,0.5823,0.583,554989.0
2023-08-14 07:00:00,7,0,14,8,2023,0.583,0.583,0.5811,0.5822,929807.0
2023-08-14 08:00:00,8,0,14,8,2023,0.5821,0.5831,0.5806,0.5829,749294.0
2023-08-14 09:00:00,9,0,14,8,2023,0.583,0.5876,0.5828,0.5868,2074554.0
2023-08-14 10:00:00,10,0,14,8,2023,0.5868,0.5907,0.5856,0.5898,3072731.0
2023-08-14 11:00:00,11,0,14,8,2023,0.5899,0.5923,0.5881,0.5886,2312733.0
2023-08-14 12:00:00,12,0,14,8,2023,0.5885,0.5893,0.5841,0.5844,1102770.0
2023-08-14 13:00:00,13,0,14,8,2023,0.5844,0.5847,0.5802,0.5808,2191456.0
2023-08-14 14:00:00,14,0,14,8,2023,0.5809,0.5836,0.5804,0.5823,1076350.0
2023-08-14 15:00:00,15,0,14,8,2023,0.5822,0.5834,0.5807,0.583,749157.0
2023-08-14 16:00:00,16,0,14,8,2023,0.583,0.5838,0.5814,0.5836,427643.0
2023-08-14 17:00:00,17,0,14,8,2023,0.5836,0.5841,0.5823,0.5833,1101549.0
2023-08-14 18:00:00,18,0,14,8,2023,0.5833,0.5852,0.5831,0.5846,724648.0
2023-08-14 19:00:00,19,0,14,8,2023,0.5846,0.587,0.5826,0.5861,1446329.0
2023-08-14 20:00:00,20,0,14,8,2023,0.586,0.5864,0.5829,0.5839,872196.0
2023-08-14 21:00:00,21,0,14,8,2023,0.5839,0.584,0.581,0.5815,860292.0
2023-08-14 22:00:00,22,0,14,8,2023,0.5816,0.5821,0.5795,0.5811,1082915.0
2023-08-14 23:00:00,23,0,14,8,2023,0.581,0.5815,0.5795,0.5805,664330.0
2023-08-15 00:00:00,0,0,15,8,2023,0.5806,0.5806,0.5768,0.5778,1384553.0
2023-08-15 01:00:00,1,0,15,8,2023,0.5778,0.5807,0.5769,0.5803,1252683.0
2023-08-15 02:00:00,2,0,15,8,2023,0.5802,0.5809,0.5782,0.5804,1416086.0
2023-08-15 03:00:00,3,0,15,8,2023,0.5804,0.5811,0.5792,0.5795,996980.0
2023-08-15 04:00:00,4,0,15,8,2023,0.5794,0.5826,0.5792,0.5802,1581752.0
2023-08-15 05:00:00,5,0,15,8,2023,0.5801,0.5804,0.5785,0.5791,649448.0
2023-08-15 06:00:00,6,0,15,8,2023,0.5791,0.5796,0.5752,0.5752,1512342.0
2023-08-15 07:00:00,7,0,15,8,2023,0.5752,0.5785,0.5748,0.5773,1123060.0
2023-08-15 08:00:00,8,0,15,8,2023,0.5772,0.5802,0.5769,0.5778,1094000.0
2023-08-15 09:00:00,9,0,15,8,2023,0.5777,0.5815,0.576,0.5803,1373430.0
2023-08-15 10:00:00,10,0,15,8,2023,0.5804,0.5812,0.5762,0.5774,1534340.0
2023-08-15 11:00:00,11,0,15,8,2023,0.5773,0.5795,0.5769,0.5778,865961.0
2023-08-15 12:00:00,12,0,15,8,2023,0.5778,0.5782,0.5771,0.5781,383301.0
2023-08-15 13:00:00,13,0,15,8,2023,0.578,0.5785,0.5752,0.577,1160669.0
2023-08-15 14:00:00,14,0,15,8,2023,0.577,0.5771,0.5173,0.546,24131801.0
2023-08-15 15:00:00,15,0,15,8,2023,0.546,0.554,0.5443,0.5507,4877596.0
2023-08-15 16:00:00,16,0,15,8,2023,0.5507,0.5565,0.5494,0.5561,2429040.0
2023-08-15 17:00:00,17,0,15,8,2023,0.5561,0.5576,0.5534,0.554,2327613.0
2023-08-15 18:00:00,18,0,15,8,2023,0.5541,0.5562,0.5522,0.5526,1740076.0
2023-08-15 19:00:00,19,0,15,8,2023,0.5526,0.5603,0.5518,0.5552,6426356.0
2023-08-15 20:00:00,20,0,15,8,2023,0.5551,0.5592,0.5513,0.5561,4915290.0
2023-08-15 21:00:00,21,0,15,8,2023,0.556,0.5576,0.5536,0.5541,2286174.0
2023-08-15 22:00:00,22,0,15,8,2023,0.5541,0.5552,0.5518,0.5538,1627846.0
2023-08-15 23:00:00,23,0,15,8,2023,0.5538,0.556,0.5495,0.55,2826930.0
